Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_Used(GB),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Temp(C),CPU_Temp(C),FPS,Frame_Count,Latency(ms)
2025-10-08 03:39:35,95.1,47.9,13.17,55.0,0.0,49.53,0.0,0.0,0,0.0
2025-10-08 03:46:40,72.2,46.6,12.8,30.5,0.0,49.19,0.0,0.0,0,0.0
2025-10-08 03:46:45,76.6,46.8,12.85,4.3,0.0,49.09,0.0,0.0,0,0.0
2025-10-08 03:46:50,68.5,46.8,12.84,74.1,0.0,48.94,0.0,0.0,0,0.0
2025-10-08 03:46:55,79.5,46.6,12.78,10.3,0.0,49.41,0.0,0.0,0,0.0
2025-10-08 03:47:00,85.0,46.6,12.78,46.1,0.0,49.12,0.0,0.0,0,0.0
2025-10-08 03:47:05,97.5,47.9,13.15,64.3,0.0,49.25,0.0,0.0,0,0.0
2025-10-08 03:47:10,89.7,48.5,13.35,43.2,0.0,49.59,0.0,0.0,0,0.0
2025-10-08 03:47:16,91.4,48.7,13.4,11.8,0.0,49.91,0.0,0.0,0,0.0
2025-10-08 03:47:21,87.8,48.6,13.39,62.7,0.0,49.41,0.0,0.0,0,0.0
2025-10-08 03:47:26,85.4,48.8,13.45,33.4,0.0,49.47,0.0,0.0,0,0.0
2025-10-08 03:47:31,90.0,48.9,13.46,42.7,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:47:36,88.3,48.9,13.46,42.7,0.0,50.0,0.0,0.0,0,0.0
2025-10-08 03:47:41,98.7,48.9,13.47,45.8,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:47:46,88.6,49.1,13.53,0.0,0.0,49.56,0.0,0.0,0,0.0
2025-10-08 03:47:52,87.2,49.2,13.56,42.9,0.0,50.03,0.0,0.0,0,0.0
2025-10-08 03:47:59,87.8,49.3,13.58,26.4,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:48:04,92.4,49.3,13.58,25.5,0.0,49.69,0.0,0.0,0,0.0
2025-10-08 03:49:38,96.7,49.1,13.53,1.8,0.0,49.53,0.0,0.0,0,0.0
2025-10-08 03:49:44,91.1,49.3,13.59,32.5,0.0,49.97,0.0,0.0,0,0.0
2025-10-08 03:49:50,92.4,49.5,13.63,26.4,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:49:56,97.5,49.3,13.6,16.8,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:50:02,100.0,50.2,13.85,52.1,0.0,50.03,0.0,0.0,0,0.0
2025-10-08 03:50:08,95.8,51.2,14.17,12.5,0.0,50.06,0.0,0.0,0,0.0
2025-10-08 03:50:13,100.0,51.7,14.29,14.0,0.0,50.12,0.0,0.0,0,0.0
2025-10-08 03:50:18,99.2,52.0,14.38,13.0,0.0,50.0,0.0,0.0,0,0.0
2025-10-08 03:50:23,100.0,51.7,14.31,62.0,0.0,50.41,0.0,0.0,0,0.0
2025-10-08 03:50:30,100.0,51.6,14.29,71.1,0.0,50.06,0.0,0.0,0,0.0
2025-10-08 03:50:36,97.4,51.6,14.28,1.4,0.0,50.19,0.0,0.0,0,0.0
2025-10-08 03:50:42,98.8,51.5,14.25,19.2,0.0,50.12,0.0,0.0,0,0.0
2025-10-08 03:50:48,100.0,52.3,14.48,14.9,0.0,50.25,0.0,0.0,0,0.0
2025-10-08 03:50:53,97.5,52.2,14.44,55.5,0.0,50.19,0.0,0.0,0,0.0
2025-10-08 03:50:58,100.0,52.2,14.44,52.3,0.0,50.31,0.0,0.0,0,0.0
2025-10-08 03:51:03,99.0,52.2,14.46,18.6,0.0,50.72,0.0,0.0,0,0.0
2025-10-08 03:52:13,98.9,49.7,13.69,25.7,0.0,50.41,0.0,0.0,0,0.0
2025-10-08 03:52:19,69.7,47.9,13.15,14.6,0.0,49.97,0.0,0.0,0,0.0
2025-10-08 03:52:24,70.1,47.8,13.14,22.8,0.0,50.03,0.0,0.0,0,0.0
2025-10-08 03:52:29,86.1,47.9,13.16,15.6,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:52:34,73.5,47.9,13.15,45.2,0.0,50.22,0.0,0.0,0,0.0
2025-10-08 03:52:39,97.5,49.3,13.57,6.2,0.0,50.16,0.0,0.0,0,0.0
2025-10-08 03:52:44,96.2,49.7,13.71,3.4,0.0,50.19,0.0,0.0,0,0.0
2025-10-08 03:52:49,87.5,49.8,13.75,39.7,0.0,50.0,0.0,0.0,0,0.0
2025-10-08 03:52:54,92.9,50.0,13.79,71.7,0.0,50.19,0.0,0.0,0,0.0
2025-10-08 03:52:59,95.2,50.2,13.84,59.7,0.0,50.41,0.0,0.0,0,0.0
2025-10-08 03:53:04,90.9,50.1,13.82,54.2,0.0,50.72,0.0,0.0,0,0.0
2025-10-08 03:53:10,93.7,50.2,13.86,91.5,0.0,50.28,0.0,0.0,0,0.0
2025-10-08 03:53:16,94.8,50.3,13.89,85.3,0.0,50.44,0.0,0.0,0,0.0
2025-10-08 03:53:21,91.4,50.4,13.9,71.3,0.0,50.31,0.0,0.0,0,0.0
2025-10-08 03:53:26,95.0,50.4,13.92,58.8,0.0,50.38,0.0,0.0,0,0.0
2025-10-08 03:53:31,90.1,50.4,13.92,25.9,0.0,50.78,0.0,0.0,0,0.0
2025-10-08 03:53:36,92.5,50.5,13.94,56.0,0.0,50.47,0.0,0.0,0,0.0
2025-10-08 03:53:41,90.0,50.5,13.95,86.4,0.0,50.84,0.0,0.0,0,0.0
2025-10-08 03:53:46,95.1,50.7,13.99,54.9,0.0,50.34,0.0,0.0,0,0.0
2025-10-08 03:53:52,90.9,50.6,13.97,33.9,0.0,50.53,0.0,0.0,0,0.0
2025-10-08 03:53:57,94.9,50.6,13.99,69.3,0.0,50.31,0.0,0.0,0,0.0
2025-10-08 03:54:02,93.5,50.7,14.0,52.0,0.0,50.47,0.0,0.0,0,0.0
2025-10-08 03:54:07,96.2,50.7,14.0,71.9,0.0,50.72,0.0,0.0,0,0.0
2025-10-08 03:54:12,92.3,50.8,14.04,69.1,0.0,50.59,0.0,0.0,0,0.0
